size;type;time_ns;iterations;swaps
100;random;165042;1201;269
100;sorted;24917;1003;0
100;reversed;30792;1102;122
90;random;33167;1075;230
90;sorted;21708;897;0
90;reversed;26750;986;103
110;random;45500;1531;297
110;sorted;28625;1204;0
110;reversed;35208;1313;133
150;random;62292;2077;397
150;sorted;41834;1779;0
150;reversed;50958;1928;197
50;random;14542;457;102
50;sorted;10042;408;0
50;reversed;13125;457;55
200;random;91459;3164;584
200;sorted;60041;2567;0
200;reversed;71709;2766;264
180;random;74125;2492;533
180;sorted;54208;2313;0
180;reversed;65000;2492;226
220;random;97125;3262;716
220;sorted;65834;2824;0
220;reversed;79375;3043;294
250;random;115917;3952;813
250;sorted;79875;3454;0
250;reversed;95709;3703;339
150;random;61291;2077;409
150;sorted;41875;1779;0
150;reversed;50833;1928;197
300;random;148583;5038;994
300;sorted;101750;4440;0
300;reversed;120125;4739;406
270;random;87625;4538;898
270;sorted;11958;3731;0
270;reversed;17625;4000;381
330;random;36792;6201;1178
330;sorted;14458;4885;0
330;reversed;18208;5214;431
350;random;35875;6222;1256
350;sorted;15250;5175;0
350;reversed;19625;5524;495
250;random;22500;4450;892
250;sorted;10125;3454;0
250;reversed;13625;3703;339
400;random;35625;7106;1377
400;sorted;18166;6308;0
400;reversed;23625;6707;572
360;random;33458;6753;1278
360;sorted;15333;5317;0
360;reversed;20208;5676;516
440;random;51041;8246;1663
440;sorted;20334;6929;0
440;reversed;25917;7368;632
450;random;46375;9337;1857
450;sorted;20750;7092;0
450;reversed;26125;7541;625
350;random;30000;5873;1198
350;sorted;15292;5175;0
350;reversed;19333;5524;495
500;random;47291;9370;1903
500;sorted;24458;8372;0
500;reversed;56500;8871;730
450;random;115834;8888;1839
450;sorted;20834;7092;0
450;reversed;41125;7541;625
550;random;79708;11951;2265
550;sorted;47875;9206;0
550;reversed;53959;9755;803
550;random;91208;10853;2150
550;sorted;52000;9206;0
550;reversed;144083;9755;803
450;random;154708;8888;1742
450;sorted;73042;7092;0
450;reversed;125500;7541;625
1000;random;111000;22709;4552
1000;sorted;57541;18713;0
1000;reversed;80250;19712;1582
900;random;96792;18647;3925
900;sorted;7875;16849;0
900;reversed;33917;17748;1348
1100;random;52458;23874;4977
1100;sorted;10000;21676;0
1100;reversed;17959;22775;1726
1050;random;50917;25946;4803
1050;sorted;8708;19652;0
1050;reversed;16917;20701;1677
950;random;44208;20624;4188
950;sorted;8083;17777;0
950;reversed;15125;18726;1479
2000;random;102667;51379;9745
2000;sorted;19375;43383;0
2000;reversed;32875;45382;3436
1800;random;92000;46249;8886
1800;sorted;16708;37254;0
1800;reversed;29084;39053;3052
2200;random;114041;56516;11397
2200;sorted;20750;47720;0
2200;reversed;35959;49919;3848
2050;random;105292;56764;10138
2050;sorted;19417;44470;0
2050;reversed;33250;46519;3515
1950;random;92833;46202;9460
1950;sorted;19250;42304;0
1950;reversed;31458;44253;3273
3000;random;154791;83054;15824
3000;sorted;29584;68059;0
3000;reversed;50083;71058;5406
2700;random;138333;74759;13899
2700;sorted;26833;61264;0
2700;reversed;47250;63963;4706
3300;random;171375;88052;17405
3300;sorted;33916;78155;0
3300;reversed;54834;81454;6000
3050;random;160708;84434;16312
3050;sorted;30750;69189;0
3050;reversed;49167;72238;5591
2950;random;153875;84611;15263
2950;sorted;29042;66917;0
2950;reversed;49292;69866;5279
5000;random;283959;158379;28228
5000;sorted;53375;123386;0
5000;reversed;83583;128385;9572
4500;random;246500;133552;24627
4500;sorted;48459;111057;0
4500;reversed;77500;115556;8334
5500;random;307666;157722;30768
5500;sorted;61083;141225;0
5500;reversed;92833;146724;10360
5050;random;281750;149878;28410
5050;sorted;53875;124633;0
5050;reversed;85041;129682;9677
4950;random;273042;137012;27877
4950;sorted;52583;122165;0
4950;reversed;84583;127114;9435
8000;random;477792;261384;49066
8000;sorted;91792;213390;0
8000;reversed;139500;221389;15952
7200;random;406125;206460;41335
7200;sorted;83167;192062;0
7200;reversed;123209;199261;14020
8800;random;522542;287529;52654
8800;sorted;100750;234735;0
8800;reversed;152667;243534;17662
8050;random;486625;271077;49796
8050;sorted;88875;214734;0
8050;reversed;135084;222783;16135
7950;random;484750;275651;48406
7950;sorted;92542;212059;0
7950;reversed;136709;220008;15897
10000;random;604917;336733;60271
10000;sorted;120667;276739;0
10000;reversed;172791;286738;20078
9000;random;524958;276056;52960
9000;sorted;106583;249059;0
9000;reversed;160709;258058;17604
11000;random;666125;359396;67269
11000;sorted;130667;304401;0
11000;reversed;196541;315400;22628
10050;random;611292;328367;60626
10050;sorted;135833;278122;0
10050;reversed;173083;288171;20481
9950;random;593125;315152;60034
9950;sorted;120250;275356;0
9950;reversed;172458;285305;19839
